id,name,CategoryLevel2id
27-16-16,COMPLEMENTOS - BASICOS,27-16
27-16-17,ALFOMBRAS,27-16
27-16-18,BALANZAS,27-16
27-16-19,CORTINAS,27-16
27-16-20,ESPEJOS,27-16
27-16-21,ORDENADORES,27-16
27-16-22,TOALLAS - BASICAS,27-16
27-16-23,TOALLAS - MODA,27-16
27-16-24,TOALLAS - PLAYA,27-16
27-16-25,COMPLEMENTOS - MODA,27-16
27-16-26,BAÑERAS,27-16
27-16-27,LAVAMANOS,27-16
27-16-28,SANITARIOS,27-16
27-16-29,MUEBLE PARA LAVAMANOS,27-16
27-17-16,CAFETERIA,27-17
27-17-17,MOLDES PARA HORNO,27-17
27-17-18,OLLAS,27-17
27-17-19,REFRACTARIAS,27-17
27-17-20,SAMOVARES,27-17
27-17-21,SARTENES - ASADORES,27-17
27-18-16,ABRIDORES-CORTADORES,27-18
27-18-17,ACCESORIOS MULTIPLES DE COCINA,27-18
27-18-18,ASISTENTES MANUALES DE COCINA,27-18
27-18-19,COMPLEMENTOS,27-18
27-18-20,CUCHILLOS Y ACCESORIOS,27-18
27-18-21,LIMPIEZA  DE  COCINA,27-18
27-18-22,RECIPIENTES DE COCINA,27-18
27-18-23,REPOSTERIA,27-18
27-18-24,TABLAS DE PICAR,27-18
27-18-25,TERMOS & TOMATODO,27-18
27-18-26,UTENSILIOS,27-18
27-19-16,COMPLEMENTOS DE BEBIDAS,27-19
27-19-17,COPAS,27-19
27-19-18,VASOS,27-19
27-19-19,CUBIERTOS EN SET,27-19
27-19-20,CUBIERTOS PIEZAS SUELTAS,27-19
27-19-21,BANDEJAS,27-19
27-19-22,COJINES PARA SILLAS,27-19
27-19-23,COMPLEMENTOS DE MESA,27-19
27-19-24,DESAYUNO,27-19
27-19-25,FUENTE DE MESA,27-19
27-19-26,INDIVIDUALES,27-19
27-19-27,MANTEL DE PLASTICO,27-19
27-19-28,MANTEL DE TELA,27-19
27-19-29,VAJILLA EN SET,27-19
27-19-30,VAJILLA PIEZA SUELTA - CERAMICA,27-19
27-19-31,VAJILLA PIEZA SUELTA - PLASTICO - MELAMINE & BAMBU,27-19
27-19-32,VAJILLA PIEZA SUELTA - VIDRIO,27-19
27-19-33,VAJILLA PIEZA SUELTA - DESCART,27-19
27-20-16,BEBIDAS,27-20
27-20-17,COMESTIBLES,27-20
27-20-18,CAFE,27-20
27-21-16,ADORNOS,27-21
27-21-17,AROMA TERAPIA,27-21
27-21-18,ALBUMES,27-21
27-21-19,PORTARRETRATOS,27-21
27-21-20,ILUMINACION,27-21
27-21-21,PARED,27-21
27-21-22,ESPEJOS,27-21
27-21-23,RELOJES,27-21
27-21-24,JARDIN,27-21
27-21-25,ALFOMBRAS - SALA,27-21
27-21-26,COJINES - DECORATIVOS,27-21
27-21-27,CORTINAS - SALA,27-21
27-22-16,BOLSOS,27-22
27-22-17,MALETAS,27-22
27-22-18,ESTUCHE,27-22
27-23-16,CLOSET,27-23
27-23-17,LAVANDERIA & PLANCHADO,27-23
27-23-18,LIMPIEZA,27-23
27-24-16,COMPLEMENTOS,27-24
27-24-17,HIELERAS,27-24
27-24-18,LONCHERAS & TERMOS,27-24
27-24-19,CAMAS & COCHONETAS,27-24
27-24-20,CARPAS & PARASOLES,27-24
27-24-21,PARAGUAS & ENCAUCHADOS,27-24
27-24-22,SILLAS DE PLAYA,27-24
27-25-16,ALFOMBRAS - DORMITORIO,27-25
27-25-17,ALMOHADAS,27-25
27-25-18,COBIJAS,27-25
27-25-20,EDREDONES & COBERTORES,27-25
27-25-21,SABANAS,27-25
27-25-22,PROTECTOR DE COLCHONES,27-25
27-25-23,SET DE CAMA,27-25
27-25-24,ACCESORIOS,27-25
27-26-16,AUTOMOVIL,27-26
27-26-17,FERRETERIA,27-26
27-26-18,ORTOPEDIA,27-26
27-26-19,VARIOS,27-26
27-26-20,GIMNASIO,27-26
27-26-21,MODA,27-26
27-28-16,CUIDADO  CAPILAR,27-28
27-28-17,CUIDADO PARA LA PIEL,27-28
27-28-18,PERFUMERIA,27-28
28-16-16,ARMARIOS,28-16
28-16-17,CAJONERAS,28-16
28-16-18,CAMAS,28-16
28-16-19,COLCHONES,28-16
28-16-20,ESPEJOS & COQUETAS,28-16
28-16-22,ZAPATERAS,28-16
28-16-23,BANCO,28-16
28-17-16,AUXILIARES,28-17
28-17-17,MUEBLE - MADERA,28-17
28-17-18,MUEBLE - METAL,28-17
28-18-16,4 PUESTOS,28-18
28-18-17,6 PUESTOS,28-18
28-18-18,PIEZAS SUELTAS,28-18
28-18-19,8 PUESTOS,28-18
28-19-16,ARMARIOS,28-19
28-19-17,CAJONERAS,28-19
28-19-18,BANCOS,28-19
28-19-19,MESAS,28-19
28-19-20,SILLAS,28-19
28-19-21,CUNAS,28-19
28-19-22,ORGANIZADORES,28-19
28-20-16,CENTRO DE ENTRETENIMIENTO,28-20
28-21-16,MUEBLES,28-21
28-21-17,REPISAS  &  LIBREROS,28-21
28-21-18,SILLAS,28-21
28-22-16,BAR,28-22
28-22-17,COMPLEMENTOS,28-22
28-22-18,MESAS AUXILIARES,28-22
28-22-19,SOFA - FIJOS,28-22
28-22-20,SOFA - RECLINABLE,28-22
28-23-16,COMPLEMENTOS,28-23
28-23-17,BANCOS & TABURETES,28-23
28-23-18,MESAS,28-23
28-23-19,SILLAS,28-23
28-23-20,JUEGO DE AMBIENTES,28-23
28-23-21,HERRAMIENTAS DE PATIO,28-23
29-16-16,ADORNOS PARA ARBOLES,29-16
29-16-17,ARBOLES,29-16
29-17-16,COMPLEMENTOS,29-17
29-17-17,MUÑECOS,29-17
29-18-16,BAÑO,29-18
29-18-17,SERVICIO DE MESA & COCINA,29-18
29-18-18,TEXTIL - COCINA,29-18
29-18-19,TEXTIL - MESA,29-18
29-18-20,TEXTIL - SALA,29-18
29-18-21,TEXTIL - DORMITORIO,29-18
29-19-16,NACIMIENTOS,29-19
29-20-16,BAZAR,29-20
30-16-16,BICICLETAS,30-16
30-16-17,BALONES,30-16
30-16-18,BASKET & FUTBOL,30-16
30-16-19,BOLOS,30-16
30-16-20,TENIS & PING PONG,30-16
30-16-21,PATINES & PATINETAS,30-16
30-16-22,SCOOTERS,30-16
30-16-23,OTROS DEPORTES,30-16
30-17-16,EDUCATIVOS,30-17
30-17-17,LEGOS,30-17
30-17-18,INSTRUMENTOS MUSICALES,30-17
30-17-19,JUEGOS DE CASINO,30-17
30-17-20,JUEGOS DE MESA,30-17
30-17-21,PELUCHES,30-17
30-17-22,VEHICULOS  A  BATERIA,30-17
30-17-23,VEHICULOS  A  PEDAL,30-17
30-17-24,CARPAS,30-17
30-18-16,BEBES & ACCESORIOS,30-18
30-18-17,BELLEZA,30-18
30-18-18,CASAS & CASTILLOS,30-18
30-18-19,MUÑECAS,30-18
30-18-20,MUÑECOS,30-18
30-18-21,PROFESIONES & ENTRETENIENTO,30-18
30-18-22,ANIMALES,30-18
30-19-16,ARMAS,30-19
