id,name,CategoryLevel3id
27-16-16-16,CEPILLOS DE INODORO - BASICO,27-16-16
27-16-16-17,CEPILLOS DE INODORO - DECORATIVO,27-16-16
27-16-16-18,COLGADORES Y GANCHOS,27-16-16
27-16-16-19,DISPENSADOR DE JABON,27-16-16
27-16-16-20,EN SET,27-16-16
27-16-16-21,ESPONJAS-GUANTES-CEPILLO DE BAÑO,27-16-16
27-16-16-22,JABONERAS,27-16-16
27-16-16-23,JABONERAS - BASICA,27-16-16
27-16-16-24,PAPELERO - BASICO,27-16-16
27-16-16-25,PAPELERO - DECORATIVO,27-16-16
27-16-16-26,PORTA CEPILLO DE DIENTES,27-16-16
27-16-16-27,PORTA ROLLO P.H.,27-16-16
27-16-16-28,ASIENTOS DE INODORO,27-16-16
27-16-16-29,TOALLEROS,27-16-16
27-16-16-30,VASO,27-16-16
27-16-16-31,PORTA TISSUE,27-16-16
27-16-16-32,ACCESORIOS DE CERAMICAS,27-16-16
27-16-16-33,EXTRACTORES,27-16-16
27-16-16-34,GRIFERIA,27-16-16
27-16-16-35,HERRAJES,27-16-16
27-16-17-16,ANTIDESLIZANTES,27-16-17
27-16-17-17,INDIVIDUALES,27-16-17
27-16-17-18,JUEGOS DE ALFOMBRAS,27-16-17
27-16-18-16,ANALOGAS - DIGITALES,27-16-18
27-16-19-16,DE TELA,27-16-19
27-16-19-17,DE PLASTICO,27-16-19
27-16-19-18,GANCHOS & RIELES,27-16-19
27-16-20-16,DE MESA,27-16-20
27-16-20-17,DE PARED,27-16-20
27-16-21-16,DE DUCHA - BASICO,27-16-21
27-16-21-17,DE DUCHA - DECORATIVO,27-16-21
27-16-21-18,REPISAS PARA INODORO,27-16-21
27-16-21-19,REPISAS VARIAS,27-16-21
27-16-22-16,CUERPO,27-16-22
27-16-22-17,CARA,27-16-22
27-16-22-18,EN SET,27-16-22
27-16-22-19,MANO,27-16-22
27-16-22-20,PIE DE BAÑO,27-16-22
27-16-22-21,TOCADOR,27-16-22
27-16-23-16,CARA,27-16-23
27-16-23-17,CUERPO,27-16-23
27-16-23-18,EN SET,27-16-23
27-16-23-19,MANO,27-16-23
27-16-23-20,TOCADOR,27-16-23
27-16-24-16,INDIVIDUALES,27-16-24
27-16-24-17,EN SET,27-16-24
27-16-25-16,CEPILLO DE INODORO,27-16-25
27-16-25-17,DISPENSADOR DE JABON,27-16-25
27-16-25-18,EN SET,27-16-25
27-16-25-19,JABONERAS,27-16-25
27-16-25-20,PAPELEROS,27-16-25
27-16-25-21,PORTA ROLLO P.H.,27-16-25
27-16-25-22,TOALLEROS,27-16-25
27-16-25-23,VASO,27-16-25
27-16-25-24,PORTA CEPILLO DE DIENTES,27-16-25
27-16-25-25,PORTA TISSUE,27-16-25
27-16-25-26,BANDEJA,27-16-25
27-16-25-27,FRASCOS,27-16-25
27-16-26-16,CABINAS,27-16-26
27-16-27-16,LAVAMANOS,27-16-27
27-16-28-16,SANITARIOS,27-16-28
27-16-29-16,DE MADERA,27-16-29
27-17-16-16,CAFETERAS-TETERAS,27-17-16
27-17-17-16,PIZZA - CUP CAKES - OTROS,27-17-17
27-17-17-17,TORTAS & TARTAS,27-17-17
27-17-18-16,CANTINAS,27-17-18
27-17-18-17,JUEGOS DE OLLAS,27-17-18
27-17-18-18,OLLAS A PRESION,27-17-18
27-17-18-19,OLLAS INDIVIDUALES,27-17-18
27-17-18-20,TAPAS P/OLLAS,27-17-18
27-17-19-16,CERAMICA,27-17-19
27-17-19-17,VIDRIO,27-17-19
27-17-20-16,ACCESORIOS,27-17-20
27-17-20-17,SAMOVARES,27-17-20
27-17-21-16,FOUNDUES,27-17-21
27-17-21-17,PAELLERAS,27-17-21
27-17-21-18,PAILAS O CALDEROS,27-17-21
27-17-21-19,PARRILLAS & PLANCHAS,27-17-21
27-17-21-20,SARTEN CON TAPA,27-17-21
27-17-21-21,SARTEN SIN TAPA,27-17-21
27-17-21-22,SARTENES EN JUEGO,27-17-21
27-18-16-16,ABRELATAS & ABRE NUECES,27-18-16
27-18-16-17,CORTADORES & PELADORES,27-18-16
27-18-16-18,SACACORCHO & DESTAPADOR,27-18-16
27-18-17-16,BASE PARA CILINDRO DE GAS,27-18-17
27-18-17-17,CUBETAS DE HIELO & HELADO,27-18-17
27-18-17-18,FRUTERAS,27-18-17
27-18-17-19,LEGUMBRERAS - METALICAS,27-18-17
27-18-17-20,LEGUMBRERAS - PLASTICAS,27-18-17
27-18-17-21,ORGANIZADORES VARIOS,27-18-17
27-18-17-22,PAPELES & ROLLOS,27-18-17
27-18-17-23,PORTA COMIDA & LONCHERAS,27-18-17
27-18-17-24,PORTA CUBIERTOS - METALICOS,27-18-17
27-18-17-25,PORTA CUBIERTOS - PLASTICOS,27-18-17
27-18-17-26,PORTA REFRACTARIAS,27-18-17
27-18-17-27,PORTA ROLLOS DE COCINA,27-18-17
27-18-17-28,SURTIDOR DE LIQUIDO,27-18-17
27-18-17-29,SURTIDOR DE LIQUIDO BASICO,27-18-17
27-18-18-16,CERNIDERAS,27-18-18
27-18-18-17,EMBUDOS-ESCURRIDORES,27-18-18
27-18-18-18,ENCENDEDORES,27-18-18
27-18-18-19,EXPRIMIDORES - METALICO,27-18-18
27-18-18-20,EXPRIMIDORES - PLASTICO,27-18-18
27-18-18-21,MORTEROS,27-18-18
27-18-18-22,PICA TODO MANUAL,27-18-18
27-18-18-23,PRENSA AJOS,27-18-18
27-18-18-24,RALLOS-GRATINADORES,27-18-18
27-18-18-25,ESCURRIDORES – PLÁSTICOS,27-18-18
27-18-19-16,COBERTOR - LICUADORA,27-18-19
27-18-19-17,COBERTOR - OLLA ARROCERA,27-18-19
27-18-19-18,COBERTOR - OTROS,27-18-19
27-18-19-19,COBERTOR - TANQUE DE GAS,27-18-19
