idProd,nameProd,subCat,PCategory,SectionProduc,General
A178058020090010,EXTRACTOR LICUADORA PORTÁTIL N,EXTRACTOR DE JUGO,COCINA,PEQUEÑO  APARATO,ELECTRO
A170049080030010,LAVADORA MABE 19KG BLANCA,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A171049080050010,LAVADORA 35 LB MABE,SEMIAUTOMATICA DE 21 LSB EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A173044081030010,LAVADORA WHIRLPOOL 19KG,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A174044081030010,LAVADORA WHIRLPOOL 19KG,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A176044081030010,LAVADORA WHIRLPOOL 16KG IMPELLER,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A175057021080010,EXPRIMIDOR DE CITRICOS DE PALANCA 130 W UMCO,EXPRIMIDOR DE JUGO,COCINA,PEQUEÑO  APARATO,ELECTRO
A177047041040010,COCINETA BRESCIA 2 H GRIS,COCINETAS,COCINAS & COCINETAS,GAMA  BLANCA,ELECTRO
A178048061020010,CONGELADOR HORIZONTAL 200 LT.,HORIZONTAL,CONGELADORES,GAMA  BLANCA,ELECTRO
A179048061020010,CONGELADOR HORIZONTAL 260 LT.,HORIZONTAL,CONGELADORES,GAMA  BLANCA,ELECTRO
A170049061020010,CONGELADOR FROST HORIZONTAL 316 LT. ELECTROLUX,HORIZONTAL,CONGELADORES,GAMA  BLANCA,ELECTRO
A171049061020010,CONGELADOR HORIZONTAL 380 LT.,HORIZONTAL,CONGELADORES,GAMA  BLANCA,ELECTRO
A172049061020010,CONGELADOR HORIZONTAL 412 LT.,HORIZONTAL,CONGELADORES,GAMA  BLANCA,ELECTRO
A175049061020010,CONGELADOR ELECTROLUX HORIZONTAL 150 LT.,HORIZONTAL,CONGELADORES,GAMA  BLANCA,ELECTRO
A176049061030010,VITRINA VERTICAL 342 LT.,VERTICAL,CONGELADORES,GAMA  BLANCA,ELECTRO
A177059021040010,BATIDORA CLASICA KITCHENAID,BATIDORA DE PEDESTAL,COCINA,PEQUEÑO  APARATO,ELECTRO
A178059021130010,LICUADORA KITCHENAID VASO POL,LICUADORAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A179059021120010,HORNO ELECTRICO 12 KITCHENAID,HORNOS TOSTADORES,COCINA,PEQUEÑO  APARATO,ELECTRO
A170050022180010,MINICHOPPER REFRESH NEGRO,PICATODO Y PROCESADOR,COCINA,PEQUEÑO  APARATO,ELECTRO
A175053022130010,LICUADORA BLACK&DECKER 550W,LICUADORAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A171059022230010,LONCHERA ELÉCTRICA PORTA COMIDA ELÉCTRICO ROJA CHEF MASTER,ACCESORIOS,COCINA,PEQUEÑO  APARATO,ELECTRO
A172059022230010,LONCHERA ELÉCTRICA PORTA COMIDA ELÉCTRICO AZUL CHEF MASTER,ACCESORIOS,COCINA,PEQUEÑO  APARATO,ELECTRO
A173059022110010,HORNO TOSTADOR Y ASADOR HALÓGENO CONVECTION OVEN CHEF MASTER,HORNOS MICROONDAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A174059022060010,BOMBA DISPENSADORA DE AGUA CON BATERÍA RECARGABLE CHEF MASTER,DISPENSADOR DE AGUA - MESA,COCINA,PEQUEÑO  APARATO,ELECTRO
A175059022030010,BATIDORA DE MANO ROJA,BATIDORA DE MANO,COCINA,PEQUEÑO  APARATO,ELECTRO
A177059022030010,BATIDORA DE MANO NEGRA,BATIDORA DE MANO,COCINA,PEQUEÑO  APARATO,ELECTRO
A178059022030010,BATIDORA DE MANO VERDE,BATIDORA DE MANO,COCINA,PEQUEÑO  APARATO,ELECTRO
A171050023130010,LICUADORA DE INMERSION CON SET DE ACCESORIOS,LICUADORAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A172050023130010,LICUADORA DE INMERSION CON SET DE ACCESORIOS,LICUADORAS,COCINA,PEQUEÑO  APARATO,ELECTRO
