id,name,type,status,commerce,size,region,city,state,tamanio
1509,BOD. CENTRAL #3,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1510,CENTRO - ANEXO,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1511,URDESA,TIENDA,1,PYCCA,485.31,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1512,CENTRO - GYE,TIENDA,1,PYCCA,3152.19,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1513,ROTONDA,TIENDA,1,PYCCA,2528.85,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1514,POLICENTRO,TIENDA,1,PYCCA,2524.25,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1515,SUR,TIENDA,1,PYCCA,3234.16,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1516,BOD/QUITO,BODEGA,0,BODEGA,0.0,QUITO,QUITO,PICHINCHA,PEQUEÑO
1517,EL BOSQUE,TIENDA,1,PYCCA,1986.59,QUITO,QUITO,PICHINCHA,GRANDE
1518,CENTRO - QUITO,TIENDA,1,PYCCA,1266.53,QUITO,QUITO,PICHINCHA,GRANDE
1519,BOD. CENTRAL #1,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1520,TRANSITO,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1521,BOD. CENTRAL #5,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1522,CUARTO MUESTRAS,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1523,SAN LUIS,TIENDA,1,PYCCA,2016.92,QUITO,QUITO,PICHINCHA,GRANDE
1524,CALIFORNIA #1,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1525,MANTA - MALL DEL PACIFICO,TIENDA,1,PYCCA,859.61,PROV. COSTA,MANTA,MANABI,GRANDE
1526,AVERIADO CD,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1527,EL RECREO,TIENDA,1,PYCCA,1064.68,QUITO,QUITO,PICHINCHA,GRANDE
1528,TALLER CARPINTERIA,OTROS,1,OTROS,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1529,SAN MARINO,TIENDA,1,PYCCA,686.59,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1530,MANTA (ANTIGUO),TIENDA,0,PYCCA,0.0,PROV. COSTA,MANTA,MANABI,PEQUEÑO
1531,BOD. CENTRAL #2,BODEGA,0,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1532,ALBORADA,TIENDA,0,PYCCA,346.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,MEDIANO
1533,OULET SUCRE,TIENDA,0,PYCCA,340.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,MEDIANO
1534,AMBATO - MALL DE LOS ANDES,TIENDA,1,PYCCA,329.51,PROV. SIERRA,AMBATO,TUNGURAHUA,MEDIANO
1535,STO. DOMINGO,TIENDA,1,PYCCA,544.1,PROV. COSTA,SANTO DOMINGO,STO. DOMINGO TSACHILAS,GRANDE
1536,GIGANTE,TIENDA,1,PYCCA,1963.52,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1537,MILAGRO,TIENDA,1,PYCCA,1133.0,PROV. COSTA,MILAGRO,GUAYAS,GRANDE
1538,CUENCA,TIENDA,1,PYCCA,396.05,PROV. SIERRA,CUENCA,AZUAY,MEDIANO
1539,CONSIGNACION,BODEGA,0,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1540,BOD. CENTRAL #6,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1541,PARQUEO,OTROS,0,OTROS,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1542,LA PIAZZA - SAMBORONDON,TIENDA,1,PYCCA,2115.26,GUAYAQUIL,SAMBORONDON,GUAYAS,GRANDE
1543,QUICENTRO SUR,TIENDA,1,PYCCA,2864.75,QUITO,QUITO,PICHINCHA,GRANDE
1544,MALL DEL SOL - ANEXO,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1545,MALL DEL SOL,TIENDA,1,PYCCA,1271.8,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1546,LA LIBERTAD - P. SHOPPING,TIENDA,1,PYCCA,364.01,PROV. COSTA,LA LIBERTAD,SANTA ELENA,MEDIANO
1547,MACHALA - LA PIAZZA,TIENDA,0,PYCCA,576.56,PROV. COSTA,MACHALA,EL ORO,GRANDE
1548,QUEVEDO - P. SHOPPING,TIENDA,1,PYCCA,273.28,PROV. COSTA,QUEVEDO,LOS RIOS,MEDIANO
1549,RIOBAMBA,TIENDA,0,PYCCA,1287.83,PROV. SIERRA,RIOBAMBA,CHIMBORAZO,GRANDE
1550,PLAZA 9,TIENDA,1,PYCCA,797.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1551,UNICENTRO,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1552,TALLER ELECTRO,OTROS,1,OTROS,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1553,BABAHOYO - P. SHOPPING,TIENDA,1,PYCCA,1088.71,PROV. COSTA,BABAHOYO,LOS RIOS,GRANDE
1554,GARANTIAS GYE,OTROS,1,OTROS,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1555,GARANTIA QTO,OTROS,1,OTROS,0.0,QUITO,QUITO,PICHINCHA,PEQUEÑO
1556,LATACUNGA - MALTERIA PLAZA,TIENDA,1,PYCCA,451.9,PROV. SIERRA,LATACUNGA,COTOPAXI,GRANDE
1557,PLAZA 9 - ELECTRO,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1558,PLAZA 9 - CALZADO,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1559,OULET PLAZA 9,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1560,OULET,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1561,BOD RESERV. GYE,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1562,BOD. CENTRAL #4,BODEGA,0,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1563,PLAZA 9 II,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1564,SAN MARINO II,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1565,EL FORTIN,TIENDA,1,PYCCA,1428.76,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1566,DURAN - P. SHOPPING,TIENDA,1,PYCCA,933.48,PROV. COSTA,DURAN,GUAYAS,GRANDE
1567,CREDITO DIRECTO,OTROS,0,OTROS,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1568,MATRIZ,TIENDA,1,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1569,ON LINE - PYCCA,TIENDA,1,PYCCA,0.0,ON LINE,GUAYAQUIL,GUAYAS,PEQUEÑO
1570,BOD. CENTRAL #0,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1571,BOD. CENTRAL #7,BODEGA,0,BODEGA,0.0,QUITO,QUITO,PICHINCHA,PEQUEÑO
1572,EL CONDADO,TIENDA,1,PYCCA,1323.59,QUITO,QUITO,PICHINCHA,GRANDE
1573,RC - EL DORADO,TIENDA,1,PYCCA,1594.79,GUAYAQUIL,DAULE,GUAYAS,GRANDE
1574,EL FORTIN - ANEXO,TIENDA,0,PYCCA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1575,BOD. MERCHANDISING,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1576,BOD RESERV. UIO,BODEGA,1,BODEGA,0.0,QUITO,QUITO,PICHINCHA,PEQUEÑO
1577,POLIP. MACHALA - P. SHOPPING,TIENDA,1,POLIPAPEL,44.46,PROV. COSTA,MACHALA,EL ORO,PEQUEÑO
1578,POLIP. RC - ENTRERIOS,TIENDA,1,POLIPAPEL,71.5,GUAYAQUIL,SAMBORONDON,GUAYAS,PEQUEÑO
1579,POLIP. DURAN - P. SHOPPING,TIENDA,1,POLIPAPEL,110.6,PROV. COSTA,DURAN,GUAYAS,MEDIANO
1580,POLIP. ALBAN BORJA,TIENDA,1,POLIPAPEL,104.42,GUAYAQUIL,GUAYAQUIL,GUAYAS,MEDIANO
1581,POLIP. W.T.C.,TIENDA,1,POLIPAPEL,41.84,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1582,POLIP. RC - NORTE,TIENDA,1,POLIPAPEL,72.12,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1583,POLIP. POLICENTRO,TIENDA,1,POLIPAPEL,232.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,MEDIANO
1584,POLIP. RC - CEIBOS,TIENDA,1,POLIPAPEL,113.48,GUAYAQUIL,GUAYAQUIL,GUAYAS,MEDIANO
1585,RC - CEIBOS,TIENDA,1,PYCCA,1165.24,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1586,EL DORADO - ANEXO,TIENDA,0,PYCCA,0.0,GUAYAQUIL,DAULE,GUAYAS,PEQUEÑO
1587,BOD. PROVEEDURIA,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1588,POLIP. MALL DEL SUR,TIENDA,1,POLIPAPEL,75.09,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1589,POLIP. EL RECREO,TIENDA,0,POLIPAPEL,0.0,QUITO,QUITO,PICHINCHA,PEQUEÑO
1590,POLIP. CENTRO - GYE,TIENDA,1,POLIPAPEL,60.94,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1591,CREDIPYCCA EMPRESARIAL GYE,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1592,BOD CARPA,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1593,BOD. CENTRAL #7UIO,BODEGA,0,BODEGA,0.0,QUITO,QUITO,PICHINCHA,PEQUEÑO
1598,POLIP. PASEO SAN FRANCISCO,TIENDA,1,POLIPAPEL,172.72,QUITO,QUITO,PICHINCHA,MEDIANO
1599,C.C.I. (ANTIGUO),TIENDA,0,PYCCA,0.0,QUITO,QUITO,PICHINCHA,PEQUEÑO
1600,CALIFORNIA,TIENDA,1,PYCCA,805.34,GUAYAQUIL,GUAYAQUIL,GUAYAS,GRANDE
1601,POLIP. GIGANTE,TIENDA,0,POLIPAPEL,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1602,C.C.I.,TIENDA,1,PYCCA,1401.52,QUITO,QUITO,PICHINCHA,GRANDE
1604,POLIPAPEL CATEGORIAS,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1605,ON LINE - POLIPAPEL,TIENDA,1,POLIPAPEL,0.0,ON LINE,GUAYAQUIL,GUAYAS,PEQUEÑO
1606,IBARRA - LAGUNA MALL,TIENDA,1,PYCCA,845.49,PROV. SIERRA,IBARRA,IMBABURA,GRANDE
1611,ENTREGAS DOMICILIO,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1612,OFICINA ETNIA,BODEGA,1,BODEGA,0.0,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
1613,EL PORTAL,TIENDA,1,PYCCA,1227.34,QUITO,QUITO,PICHINCHA,GRANDE
1615,POLIP. MALL DEL SOL,TIENDA,1,POLIPAPEL,141.81,GUAYAQUIL,GUAYAQUIL,GUAYAS,MEDIANO
1616,POLIP. ROTONDA,TIENDA,1,POLIPAPEL,82.26,GUAYAQUIL,GUAYAQUIL,GUAYAS,PEQUEÑO
